"id","studentId","stats","avatar","weekChlId","knowledgeLvl","weekChlScore","weekChlWinner"
1,847,"{""c"":[0.01,0.86,0.72,0.86,0.72,0.86,0.72,0.86],""m"":[[0,0,0,0],[37.71,1324,72,1385],[13.96,112,8,119],[9.79,295,24,315],[6.89,50,3,53],[10.32,63,7,66],[11.42,72,7,78,0.16],[1.17,9,2,11,0.13]],""t"":[[0,0,0,0],[9.35,4.25,3,5],[1.64,1,0,1],[6.37,4.75,5,6],[0.82,0.75,1,1],[0.76,0.5,2,1],[1.31,0.75,1,1],[0,0,0,0,0]],""g"":[[0,0,0,0],[8.06,51,13,64],[2.6,10,14,18],[2.08,8,7,11],[7.28,28,7,32],[11.7,45,5,49],[12.74,49,16,62,0.26],[0,0,0,0,0]],""d"":20501}","g08860102",759,1,"0.00",0
2,851,"{""c"":[0.01,0.57,0.72,0.72,0.72,0.58,0.3,0.86],""m"":[[0,0,0,0],[8.41,157,4,159],[7.54,58,1,59],[7.09,52,1,53],[16.04,116,2,118],[19.4,115,3,118],[7.52,47,3,50],[0,0,0,0,0]],""t"":[[0,0,0,0],[7.71,3,0,3],[1.64,1,0,1],[0.66,1,4,2],[1.97,2.25,7,4],[0.76,0.5,2,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[7.54,29,3,32],[5.72,22,3,25],[1.82,7,1,8],[8.32,32,5,36],[8.32,32,11,42],[1.3,5,33,20],[0,0,0,0,0]],""d"":20500}","x430708c6",759,1,"0.00",0
6,1918,"{""c"":[0,0,0,0.43,0.57,0.29,0.43,0.86],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,161,5,165],[16.8,210,2,212],[19.84,148,14,153],[21.3,213,4,217],[8.26,91,0,91]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20495}","023484003",729,3,"0.00",0
10,838,"{""c"":[0.01,0.71,0.44,0.58,0,0.72,0.58,0.86],""m"":[[0,0,0,0],[24.34,139,14,151],[18.34,178,11,187],[23.08,172,15,183],[0,0,0,0],[9.08,143,130,159],[15.59,179,12,188],[0,0,0,0,0]],""t"":[[0,0,0,0],[7.86,8,26,13],[0.82,0.75,5,2],[0.66,0.75,6,2],[0,0,0,0],[0,0,4,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[6.5,25,10,29],[8.06,31,6,36],[3.38,13,2,15],[0,0,0,0],[6.24,24,2,26],[10.66,41,13,53],[0,0,0,0,0]],""d"":20500}","x43070003",759,1,"0.00",0
11,834,"{""c"":[0.58,0.71,0.86,0.86,0.72,0.72,0.02,0.86],""m"":[[22.13,118,19,134],[10.14,78,19,94],[12.87,99,7,106],[17.88,133,10,140],[26.79,169,11,180],[14.41,97,14,109],[0,0,0,0],[0,0,0,0,0]],""t"":[[0,0,0,0],[3.86,2.25,4,3],[0.82,0.75,1,1],[4.58,4.25,7,6],[1.64,1,0,1],[3.04,1,0,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[5.2,20,5,24],[6.24,24,1,25],[4.42,17,1,18],[8.06,31,3,33],[8.32,32,0,32],[0,0,0,0],[0,0,0,0,0]],""d"":20500}","w63060003",759,1,"0.00",0
12,833,"{""c"":[0.01,0.01,0.72,0.72,0.72,0.72,0.72,0.86],""m"":[[0,0,0,0],[0,0,0,0],[4.62,90,2,92],[8.82,135,3,137],[14.55,423,6,428],[7.23,138,3,141],[24.48,153,0,153,0.16],[0,0,0,0,0]],""t"":[[0,0,0,0],[0,0,0,0],[8.19,6,0,6],[1.31,1,0,1],[6.88,5,5,6],[1.52,0.75,1,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[4.94,19,2,20],[3.64,14,1,15],[11.44,44,1,45],[7.02,27,4,30],[10.92,42,28,61,0.26],[0,0,0,0,0]],""d"":20500}","878060646",759,1,"0.00",0
13,843,"{""c"":[0.01,0.57,0.72,0.72,0.72,0.58,0.58,0.86],""m"":[[0,0,0,0],[3.22,130,5,135],[9.36,72,11,80],[6.03,45,5,49],[10.11,67,7,73],[20.52,137,3,140],[12.52,97,7,101,0.16],[0,0,0,0,0]],""t"":[[0,0,0,0],[3.04,2.25,6,3],[0.82,0.75,1,1],[1.31,1,0,1],[0.82,0.75,1,1],[0,0,0,0],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[10.66,41,0,41],[7.54,29,4,31],[1.82,7,3,8],[6.76,26,3,27],[4.42,17,1,18],[14.82,57,26,72,0.26],[0,0,0,0,0]],""d"":20500}","f45086026",759,1,"0.00",0
14,857,"{""c"":[1,1,1,1,1,1,1,1],""m"":[[92.24,329,41,355],[65.23,448,31,478],[128.72,857,43,895],[165.43,1063,49,1107],[160.52,1058,31,1085],[190.1,1190,31,1218],[218.42,1367,50,1416,0.16],[84.94,547,21,568,0.16]],""t"":[[262.78,84.5,30,92],[139.56,65.5,14,69],[204.95,80.75,25,86],[240.9,108.75,17,113],[222.79,97,12,100],[211,89.25,12,92],[165.25,67,5,69,2.43],[140.34,57.75,10,62,2.43]],""g"":[[131.57,262,25,277],[91,350,13,358],[83.46,321,33,343],[78.26,301,44,330],[106.08,408,26,428],[97.5,375,19,390],[105.3,405,63,459,0.26],[26.26,101,20,115,0.26]],""d"":20502}","001181152",759,1,"30.00",2
15,841,"{""c"":[0.58,1,0.86,1,1,1,1,1],""m"":[[11.94,96,5,100],[16.87,139,5,144],[27.02,216,6,222],[18.6,192,10,202],[42.85,429,11,440],[30.09,372,15,386],[117.73,1257,34,1284,0.12],[27.39,303,2,305,0.09]],""t"":[[0,0,0,0],[6.89,2.75,1,3],[1.64,1,0,1],[1.31,1,0,1],[10.16,7.5,2,8],[7.63,4,0,4],[7.02,4.75,1,5,2.43],[1.71,1.5,7,4,1.46]],""g"":[[0,0,0,0],[7.54,29,2,31],[13.78,53,2,55],[13,50,0,50],[21.06,81,1,82],[26.78,103,2,105],[10.66,41,1,42,0.26],[0,0,0,0,0]],""d"":20501}","058569832",759,1,"34.00",0
16,850,"{""c"":[0.86,1,0.86,0.86,0.86,0.86,0.86,1],""m"":[[10.95,85,13,97],[17.68,136,8,144],[15.73,118,22,134],[18.12,141,15,152],[13.04,95,6,101],[16.64,104,5,109],[18.56,116,13,126,0.16],[0,0,0,0,0]],""t"":[[334,192,36,201],[381.57,291.25,29,298],[449.65,340.25,15,344],[268.46,206.5,10,209],[120.54,73.75,1,74],[91.94,58,8,60],[119.44,76.25,6,78,1.64],[179.51,83.75,38,96,2.15]],""g"":[[2.6,10,2,12],[13.78,53,3,55],[8.06,31,4,35],[3.9,15,4,18],[25.48,98,11,107],[20.54,79,3,82],[9.1,35,10,43,0.26],[0,0,0,0,0]],""d"":20501}","j01181953",759,1,"0.00",0
