"id","taskInfo"
1,"[""math"",""C1"",""C10"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
2,"[""math"",""C2"",""C10"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
4,"[""math"",""C3"",""C10"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
5,"[""math"",""C7"",""C35"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
6,"[""math"",""C1"",""C8"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
7,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""4""],false,""C79""]"
8,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""8""],false,""C79""]"
9,"[""lang"",""C49"",""C51"",""C80"",""C82"",""C76"",""C58""]"
10,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""6""],false,""C79""]"
11,"[""math"",""C1"",""C9"",""C38"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
12,"[""lang"",""C83"",""C50"",""C75"",{""C66"":[""2kl""],""C67"":[],""C85"":[],""C86"":[],""C87"":[]},""C73"",3]"
13,"[""math"",""C3"",""C13"",""C37"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
14,"[""math"",""C1"",""C14"",""C38"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
15,"[""lang"",""C49"",""C51"",""C81"",""C82"",""C76"",""C58""]"
16,"[""lang"",""C49"",""C52"",""C80"",""C82"",""C76"",""C59""]"
17,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""9""],false,""C79""]"
18,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""3""],false,""C79""]"
19,"[""math"",""C4"",""C21"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
20,"[""math"",""C1"",""C8"",""C37"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
21,"[""math"",""C2"",""C8"",""C37"",""C42"",""C44"",""C47"",[""1"",""1""],false,""C79""]"
22,"[""math"",""C2"",""C10"",""C38"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
23,"[""math"",""C2"",""C8"",""C37"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
24,"[""lang"",""C83"",""C50"",""C75"",{""C85"":[],""C86"":[],""C87"":[],""C66"":[""2kl""],""C67"":[]},""C73"",3]"
25,"[""math"",""C5"",""C30"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
26,"[""lang"",""C49"",""C52"",""C81"",""C82"",""C75"",""C58""]"
27,"[""lang"",""C83"",""C50"",""C75"",{""C61"":[],""C67"":[],""C68"":[]},""C73"",3]"
28,"[""lang"",""C49"",""C51"",""C80"",""C82"",""C75"",""C58""]"
29,"[""math"",""C3"",""C8"",""C37"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
30,"[""math"",""C1"",""C10"",""C37"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
31,"[""math"",""C1"",""C11"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
32,"[""math"",""C3"",""C17"",""C38"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
33,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""10""],false,""C79""]"
34,"[""math"",""C3"",""C10"",""C37"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
35,"[""math"",""C3"",""C14"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
36,"[""lang"",""C49"",""C51"",""C81"",""C82"",""C75"",""C58""]"
37,"[""lang"",""C49"",""C51"",""C80"",""C82"",""C75"",""C59""]"
38,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""3""],false,""C79""]"
39,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""1""],false,""C79""]"
40,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""5""],false,""C79""]"
41,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""5"",""5""],false,""C79""]"
42,"[""math"",""C5"",""C18"",""C37"",""C42"",""C46"",""C47"",[""2"",""5""],false,""C79""]"
43,"[""math"",""C4"",""C18"",""C37"",""C42"",""C45"",""C47"",[""2"",""9""],false,""C79""]"
44,"[""lang"",""C49"",""C52"",""C80"",""C82"",""C75"",""C58""]"
45,"[""math"",""C3"",""C13"",""C38"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
46,"[""math"",""C1"",""C9"",""C38"",""C42"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
47,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""5""],false,""C79""]"
48,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""7""],false,""C79""]"
49,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""2""],false,""C79""]"
50,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""7"",""7""],false,""C79""]"
51,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""10""],false,""C79""]"
52,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""6""],false,""C79""]"
53,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""9""],false,""C79""]"
54,"[""math"",""C2"",""C14"",""C38"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
55,"[""math"",""C2"",""C16"",""C38"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
56,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""4"",""4""],false,""C79""]"
57,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""2"",""5""],false,""C79""]"
58,"[""math"",""C5"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""5""],false,""C79""]"
59,"[""math"",""C6"",""C18"",""C37"",""C41"",""C45"",""C47"",[""4"",""5""],false,""C79""]"
60,"[""math"",""C7"",""C31"",""C37"",""C41"",""C45"",""C47"",[""1"",""1""],false,""C79""]"
61,"[""lang"",""C49"",""C52"",""C80"",""C82"",""C76"",""C58""]"
62,"[""math"",""C7"",""C35"",""C37"",""C41"",""C45"",""C47"",[""1"",""1""],false,""C79""]"
63,"[""lang"",""C83"",""C50"",""C76"",{""C62"":[]},""C73"",1]"
64,"[""math"",""C1"",""C12"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
65,"[""math"",""C6"",""C28"",""C37"",""C41"",""C45"",""C47"",[""1"",""1""],false,""C79""]"
66,"[""lang"",""C49"",""C51"",""C80"",""C82"",""C76"",""C60""]"
67,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""10"",""2""],false,""C79""]"
68,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""3""],false,""C79""]"
69,"[""math"",""C7"",""C33"",""C37"",""C41"",""C45"",""C47"",[""1"",""1""],false,""C79""]"
70,"[""math"",""C5"",""C18"",""C37"",""C42"",""C45"",""C47"",[""2"",""5""],false,""C79""]"
71,"[""math"",""C5"",""C22"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
72,"[""math"",""C3"",""C8"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
73,"[""lang"",""C49"",""C51"",""C80"",""C82"",""C76"",""C59""]"
74,"[""math"",""C6"",""C22"",""C37"",""C41"",""C45"",""C48"",[""1"",""1""],false,""C79""]"
75,"[""math"",""C2"",""C8"",""C37"",""C41"",""C43"",""C47"",[""1"",""1""],false,""C79""]"
76,"[""math"",""C1"",""C12"",""C37"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
77,"[""math"",""C5"",""C22"",""C37"",""C41"",""C45"",""C47"",[""1"",""1""],true,""C79""]"
78,"[""lang"",""C83"",""C50"",""C76"",{""C62"":[],""C63"":[],""C64"":[],""C65"":[],""C66"":[""4kl""],""C68"":[],""C69"":[],""C70"":[],""C71"":[],""C72"":[]},""C73"",1]"
79,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""3"",""8""],false,""C79""]"
80,"[""math"",""C3"",""C14"",""C38"",""C41"",""C43"",""C48"",[""1"",""1""],false,""C79""]"
81,"[""math"",""C4"",""C18"",""C37"",""C41"",""C45"",""C47"",[""1"",""9""],false,""C79""]"
82,"[""lang"",""C49"",""C51"",""C80"",""C82"",""C75"",""C60""]"
