"id","studentId","taskLibraryId","correct","mistakes","totalAnswers","answerRate","date"
1,1187,6,"19.00",2,20,"32.4","2025-12-15"
2,1187,7,"20.00",0,20,"22.2","2025-12-15"
3,1187,8,"1.00",0,1,"19.9","2025-12-15"
4,1187,10,"19.00",1,20,"21","2025-12-15"
5,3287,9,"1.75",151,15,"1.3","2025-12-15"
6,3272,6,"11.00",0,11,"10.1","2025-12-15"
7,3283,9,"1.00",64,10,"0.7","2025-12-15"
8,3217,9,"6.75",13,10,"0.5","2025-12-15"
9,3286,9,"5.00",20,10,"0.5","2025-12-15"
10,3292,9,"2.00",49,10,"0.8","2025-12-15"
11,3284,9,"5.00",22,10,"0.5","2025-12-15"
12,3291,9,"2.00",42,10,"0.6","2025-12-15"
13,3289,9,"3.50",32,10,"1","2025-12-15"
14,2372,14,"10.00",0,10,"2.5","2025-12-15"
15,2372,15,"0.75",11,3,"0.4","2025-12-15"
16,2378,12,"38.00",9,44,"3.4","2025-12-15"
17,2380,12,"32.00",21,44,"2.7","2025-12-15"
18,2372,16,"0.50",16,2,"0.4","2025-12-15"
19,2395,12,"24.00",26,39,"4.3","2025-12-15"
20,2404,12,"23.00",4,25,"3.6","2025-12-15"
21,436,5,"17.00",5,20,"2.4","2025-12-15"
22,837,6,"99.00",1,100,"11.1","2025-12-15"
23,856,20,"20.00",0,20,"19.7","2025-12-15"
24,856,21,"58.00",2,60,"12.6","2025-12-15"
25,856,22,"40.00",0,40,"5.2","2025-12-15"
26,2322,17,"60.00",0,60,"8.1","2025-12-15"
27,2322,18,"19.00",1,20,"6.7","2025-12-15"
28,837,20,"20.00",0,20,"7.1","2025-12-15"
29,837,23,"20.00",0,20,"14.8","2025-12-15"
30,1435,6,"19.00",1,20,"6.4","2025-12-15"
31,2281,17,"29.00",1,30,"8","2025-12-15"
32,2281,18,"18.00",2,20,"11.3","2025-12-15"
33,837,22,"19.00",1,20,"3.6","2025-12-15"
34,1435,24,"23.00",6,26,"1.8","2025-12-15"
35,2347,19,"12.00",11,20,"1","2025-12-15"
36,3290,25,"13.00",2,15,"1.5","2025-12-15"
37,837,11,"20.00",0,20,"6.8","2025-12-15"
38,837,21,"40.00",0,40,"9.9","2025-12-15"
39,837,26,"1.50",2,2,"0.6","2025-12-15"
40,857,27,"12.00",0,12,"5.3","2025-12-15"
41,839,6,"19.00",1,20,"13.2","2025-12-15"
42,837,28,"2.00",0,2,"0.8","2025-12-15"
43,857,22,"18.00",2,20,"6.3","2025-12-15"
44,857,29,"21.00",0,21,"13.5","2025-12-15"
45,910,5,"20.00",0,20,"2","2025-12-15"
46,839,29,"18.00",2,20,"9.8","2025-12-15"
47,2319,19,"18.00",2,20,"2.5","2025-12-15"
48,839,30,"19.00",1,20,"9","2025-12-15"
49,2282,17,"30.00",0,30,"6.3","2025-12-15"
50,2282,18,"18.00",2,20,"7.5","2025-12-15"
51,1871,6,"20.00",0,20,"26.1","2025-12-15"
52,1993,11,"92.00",6,97,"19.4","2025-12-15"
54,840,1,"157.00",0,157,"11.6","2025-12-15"
55,927,6,"20.00",0,20,"22.6","2025-12-15"
56,842,6,"556.00",5,561,"27.5","2025-12-15"
57,851,1,"53.00",1,54,"10.8","2025-12-15"
58,852,6,"39.00",1,40,"13","2025-12-15"
59,2308,17,"29.00",1,30,"11.8","2025-12-15"
60,1879,11,"12.00",0,12,"2.4","2025-12-15"
61,2308,18,"20.00",0,20,"9.6","2025-12-15"
62,1890,21,"20.00",0,20,"7.2","2025-12-15"
63,1890,11,"20.00",0,20,"6.7","2025-12-15"
64,1874,6,"14.00",6,20,"12.6","2025-12-15"
65,1890,20,"19.00",1,20,"9.5","2025-12-15"
66,852,31,"15.00",10,20,"2.3","2025-12-15"
67,850,1,"49.00",0,49,"9.8","2025-12-15"
68,2261,17,"59.00",1,60,"8.1","2025-12-15"
69,1874,11,"110.00",0,110,"22","2025-12-15"
70,2261,18,"18.00",2,20,"6.7","2025-12-15"
71,850,6,"523.00",2,525,"12.1","2025-12-15"
72,1890,32,"16.00",5,20,"2.8","2025-12-15"
73,856,1,"72.00",0,72,"14.4","2025-12-15"
74,840,31,"20.00",0,20,"10.1","2025-12-15"
75,856,6,"396.00",5,401,"20.8","2025-12-15"
76,1882,11,"164.00",3,167,"27.8","2025-12-15"
77,2300,17,"27.00",4,30,"5.3","2025-12-15"
78,1882,6,"38.00",2,40,"26.2","2025-12-15"
79,843,1,"37.00",2,38,"7.6","2025-12-15"
80,3337,33,"399.00",1,400,"13.7","2025-12-15"
81,2300,18,"12.00",14,20,"2.4","2025-12-15"
82,1894,11,"53.00",0,53,"10.6","2025-12-15"
83,839,34,"40.00",0,40,"8.3","2025-12-15"
84,843,2,"17.00",3,19,"3.8","2025-12-15"
85,840,4,"17.00",3,20,"4.4","2025-12-15"
86,3336,35,"24.00",1,25,"1.3","2025-12-15"
87,856,27,"5.00",0,5,"3.6","2025-12-15"
88,843,36,"0.00",3,1,"0.6","2025-12-15"
89,2652,19,"17.00",4,20,"1.2","2025-12-15"
90,843,4,"62.00",6,66,"4.3","2025-12-15"
91,2284,17,"56.00",4,60,"9.6","2025-12-15"
92,2318,19,"19.00",1,20,"1.5","2025-12-15"
93,837,4,"20.00",0,20,"6.9","2025-12-15"
94,3334,17,"24.00",19,30,"3.4","2025-12-15"
95,2284,18,"20.00",0,20,"9.5","2025-12-15"
96,839,37,"9.00",4,10,"0.6","2025-12-15"
97,2284,38,"19.00",1,20,"11.2","2025-12-15"
98,2263,18,"39.00",1,40,"14.4","2025-12-15"
99,2284,6,"1.00",0,1,"30","2025-12-15"
100,858,6,"179.00",1,180,"13.4","2025-12-15"
101,857,32,"39.00",1,40,"7.2","2025-12-15"
102,2295,17,"30.00",0,30,"16.8","2025-12-15"
103,838,39,"122.00",0,122,"18","2025-12-15"
104,854,1,"74.00",0,74,"14.8","2025-12-15"
105,838,6,"32.00",0,32,"16.7","2025-12-15"
106,2263,17,"30.00",0,30,"11","2025-12-15"
107,2295,18,"20.00",0,20,"10.3","2025-12-15"
108,857,6,"30.00",0,30,"14.6","2025-12-15"
109,853,11,"19.00",1,20,"4.8","2025-12-15"
110,841,1,"29.00",2,31,"6.2","2025-12-15"
111,839,24,"7.00",3,10,"1.9","2025-12-15"
112,838,1,"70.00",2,72,"14.4","2025-12-15"
113,858,32,"17.00",4,20,"1.8","2025-12-15"
114,853,1,"43.00",2,45,"9","2025-12-15"
115,1957,11,"124.00",0,124,"24.8","2025-12-15"
116,2296,17,"29.00",1,30,"4","2025-12-15"
117,1875,11,"81.00",3,84,"16.8","2025-12-15"
